"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","device","dict_active_condition_number_p95","dict_expected_active_condition_number","dict_expected_active_condition_number_std","dict_expected_active_min_eig","dict_expected_active_min_eig_std","dict_expected_irc_exact","dict_expected_irc_uniform","dict_expected_signal_ceiling_l_inf","dict_max_abs_offdiag","dict_mean_abs_offdiag","dict_singular_active_block_pct","dtype","learning_rate","log_interval","max_activations_window","measured_flops_per_step","measured_gflops_per_step","model_class","model_type","num_steps","rho","seed","warmup_steps","activation_effective_sample_size","active_condition_number","active_max_eigenvalue","active_min_eigenvalue","code_recovery_l2","code_recovery_mse","dead_neuron_recovery_pct","dead_neuron_recovery_rate","dead_neurons_pct","dictionary_coherence_abs_max","dictionary_coherence_nn/mean","dictionary_coherence_nn/p10","dictionary_coherence_nn/p50","dictionary_coherence_nn/p90","dictionary_coherence_nn/std","dictionary_coherence_nn_max","dictionary_coherence_overall_mean","dictionary_coherence_subsampled","dictionary_coherence_total_features","dictionary_coherence_used_features","dictionary_error_cosine","dictionary_error_frobenius","explained_variance","feature_shrinkage_ratio","interaction_leakage_frobenius","l0_active_features","l0_vs_l1_ratio","loss","loss_l1","loss_l2","loss_recon","loss_total","mean_h_j","mean_max_cosine_similarity","measured_cumulative_flops","measured_cumulative_tflops","shadowed_ids","shadowed_scores","step","support_f1_score","support_jaccard_similarity","support_precision","support_recall","total_h_j","warmup_factor","weight_bimodality_ratio"
"spiked-rho0.90-topk_baseline_sweep004-seed0","finished","-","","model=topk_baseline_sweep004, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-07-25T07:35:37.000Z","137","","256","cuda","253.8714141845703","232.3142852783203","12.344648361206056","0.06261799484491348","0.0033026470337063074","1.0023272037506104","1.6490353345870972","29.214345932006836","0.9296931028366088","0.8995046615600586","0","torch.float32","0.001","500","10000","805503232","0.805503232","TopKSAE","topk_baseline_sweep004","50000","0.9","0","10000","","13.881726264953612","4.486318588256836","0.3231815993785858","15.916528701782228","0.24921303987503052","0.7625272331154684","0.007625272331154684","89.35546875","0.6374014019966125","0.2163291871547699","0.19056007266044617","0.21124869585037231","0.24169568717479703","0.03715978562831879","0.6374014019966125","0.04957589879631996","0","1024","1024","0.8821584433317184","44.178504943847656","0.7739657163619995","0.997994065284729","19.202232360839844","101.359375","0.7505069375038147","0.010786395519971848","0","0","0.010786395519971848","0.010786395519971848","0.39785581827163696","0.2163291871547699","40275161600000","40.2751616","[49,764,847,1020,982]","[0.5364160537719727,0.5213643908500671,0.5152270197868347,0.509558916091919,0.5043123364448547]","50000","0.028691017336031084","0.014554418666985636","0.016610143363010244","0.10522460934931038","366.8230590820313","1",""
"spiked-rho0.90-topk_baseline_sweep003-seed0","finished","-","","model=topk_baseline_sweep003, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-07-25T07:33:18.000Z","138","","256","cuda","253.8714141845703","232.3142852783203","12.344648361206056","0.06261799484491348","0.0033026470337063074","1.0023272037506104","1.6490353345870972","29.214345932006836","0.9296931028366088","0.8995046615600586","0","torch.float32","0.001","500","10000","805503232","0.805503232","TopKSAE","topk_baseline_sweep003","50000","0.9","0","10000","","14.842073440551758","3.737169027328491","0.25179561972618103","17.85687255859375","0.313487708568573","0.5202913631633715","0.005202913631633715","93.45703125","0.7378444671630859","0.21677885949611664","0.1897697150707245","0.21158717572689056","0.24186944961547852","0.037405021488666534","0.7378444671630859","0.049839138984680176","0","1024","1024","0.8841945379972458","44.608985900878906","0.65851229429245","0.9976080656051636","15.246257781982422","61.57421875","0.9146744012832642","0.015823470428586006","0","0","0.015823470428586006","0.015823470428586006","0.24067379534244537","0.21677885949611664","40275161600000","40.2751616","[967,721,363,585,830]","[0.3717271089553833,0.3681242167949677,0.3634012639522553,0.3590560257434845,0.35299909114837646]","50000","0.02064522371193649","0.01043044672787064","0.013005138614920692","0.050048828112781045","231.52818298339844","1",""
"spiked-rho0.90-topk_baseline_sweep002-seed0","finished","-","","model=topk_baseline_sweep002, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-07-25T07:30:58.000Z","138","","256","cuda","253.8714141845703","232.3142852783203","12.344648361206056","0.06261799484491348","0.0033026470337063074","1.0023272037506104","1.6490353345870972","29.214345932006836","0.9296931028366088","0.8995046615600586","0","torch.float32","0.001","500","10000","805503232","0.805503232","TopKSAE","topk_baseline_sweep002","50000","0.9","0","10000","","21.20577621459961","5.221953868865967","0.24625147879123688","16.628704071044922","0.27167797088623047","0.9090909090909092","0.00909090909090909","96.09375","0.7187486290931702","0.21795809268951416","0.19070689380168915","0.2118532806634903","0.2431970536708832","0.04373641684651375","0.7187486290931702","0.04991649091243744","0","1024","1024","0.8830457329750061","44.66811752319336","0.5255515575408936","0.9953212738037108","11.04291534423828","30.8046875","1.3288145065307615","0.020812109112739563","0","0","0.020812109112739563","0.020812109112739563","0.12124805897474288","0.21795809268951416","40275161600000","40.2751616","[88,896,730,550,183]","[0.2436735033988953,0.2251158505678177,0.21686747670173645,0.21286241710186005,0.21199102699756625]","50000","0.019862678057559865","0.01003118941161332","0.015090032967906413","0.029052734367907045","120.39932250976562","1",""
"spiked-rho0.90-topk_baseline_sweep001-seed0","finished","-","","model=topk_baseline_sweep001, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-07-25T07:28:47.000Z","130","","256","cuda","253.8714141845703","232.3142852783203","12.344648361206056","0.06261799484491348","0.0033026470337063074","1.0023272037506104","1.6490353345870972","29.214345932006836","0.9296931028366088","0.8995046615600586","0","torch.float32","0.001","500","10000","805503232","0.805503232","TopKSAE","topk_baseline_sweep001","50000","0.9","0","10000","","22.594594955444336","6.273308277130127","0.27764642238616943","14.311655044555664","0.2011263370513916","0.3996003996003996","0.003996003996003996","98.14453125","0.7170162200927734","0.22269460558891296","0.1916467696428299","0.21493372321128845","0.25232768058776855","0.04889977350831032","0.7170162200927734","0.050555191934108734","0","1024","1024","0.869782954454422","44.348236083984375","0.44973456859588623","0.9969013333320618","8.85126781463623","14.94140625","2.205838918685913","0.0236972663551569","0","0","0.0236972663551569","0.0236972663551569","0.06381073594093323","0.22269460558891296","40275161600000","40.2751616","[244,231,760,957,932]","[0.4427573084831238,0.23524199426174164,0.15924228727817535,0.15560150146484375,0.1507638692855835]","50000","0.014644116177433605","0.00737631947000174","0.015163398688846173","0.01416015624654293","64.3850326538086","1",""
"spiked-rho0.90-topk_baseline_sweep000-seed0","finished","-","","model=topk_baseline_sweep000, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-07-25T07:26:34.000Z","132","","256","cuda","253.8714141845703","232.3142852783203","12.344648361206056","0.06261799484491348","0.0033026470337063074","1.0023272037506104","1.6490353345870972","29.214345932006836","0.9296931028366088","0.8995046615600586","0","torch.float32","0.001","500","10000","805503232","0.805503232","TopKSAE","topk_baseline_sweep000","50000","0.9","0","10000","","26.573469161987305","4.859426975250244","0.1828676164150238","17.889114379882812","0.31453317403793335","0.396432111000991","0.003964321110009911","98.92578125","0.8111615180969238","0.21992552280426023","0.1903377026319504","0.21240727603435516","0.24743102490901947","0.04966171458363533","0.8111615180969238","0.05036790668964386","0","1024","1024","0.8752982094883919","44.307159423828125","0.44137829542160034","0.9975508451461792","6.169537544250488","6.98828125","4.208101272583008","0.025538569316267967","0","0","0.025538569316267967","0.025538569316267967","0.029952846467494965","0.21992552280426023","40275161600000","40.2751616","[492,498,151,52,968]","[0.35229066014289856,0.13301195204257965,0.11288826912641524,0.10147379338741302,0.0986114889383316]","50000","0.008835600643885314","0.004437617340085746","0.014533258795677328","0.006347656248450279","30.46204376220703","1",""
"spiked-rho0.90-adaptive_elastic_net_sweep071-seed0","finished","-","","model=adaptive_elastic_net_sweep071, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-07-25T07:23:15.000Z","197","","256","cuda","253.8714141845703","232.3142852783203","12.344648361206056","0.06261799484491348","0.0033026470337063074","1.0023272037506104","1.6490353345870972","29.214345932006836","0.9296931028366088","0.8995046615600586","0","torch.float32","0.001","500","10000","806554886","0.806554886","AdaptiveElasticNetSAE","adaptive_elastic_net_sweep071","50000","0.9","0","10000","74.47163391113281","8.493246078491211","1.7906535863876345","0.2108326405286789","8.487024307250977","0.070609912276268","10.379241516966069","0.10379241516966067","69.7265625","0.9625981450080872","0.23733162879943848","0.19925405085086825","0.2298068106174469","0.27542784810066223","0.05283894762396813","0.9625981450080872","0.05246026813983917","0","1024","1024","0.7866827249526978","41.90298843383789","0.39509570598602295","0.9956742525100708","4.948204517364502","1.5625","1.1961419582366943","0.02728753164410591","0.0005779078346677125","0.0003137855383101851","0.02639583870768547","0.02728753164410591","0.0182524174451828","0.23733162879943848","40327744300000","40.3277443","[598,162,479,103,755]","[0.9982181787490844,0.24953676760196689,0.2335212081670761,0.19512784481048584,0.18496036529541016]","50000","0.005782756046094244","0.002899843853914824","0.03249999991875","0.0031738281242251394","18.635719299316406","1","0"
"spiked-rho0.90-adaptive_elastic_net_sweep070-seed0","finished","-","","model=adaptive_elastic_net_sweep070, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-07-25T07:20:03.000Z","192","","256","cuda","253.8714141845703","232.3142852783203","12.344648361206056","0.06261799484491348","0.0033026470337063074","1.0023272037506104","1.6490353345870972","29.214345932006836","0.9296931028366088","0.8995046615600586","0","torch.float32","0.001","500","10000","806554886","0.806554886","AdaptiveElasticNetSAE","adaptive_elastic_net_sweep070","50000","0.9","0","10000","104.91970825195312","10.296390533447266","1.907024383544922","0.1852129101753235","8.457038879394531","0.07022079825401306","10.927835051546392","0.10927835051546392","51.7578125","0.9976381659507751","0.23449181020259857","0.19793356955051425","0.22587323188781736","0.2696259915828705","0.05806435272097587","0.9976381659507751","0.05197646841406822","0","1024","1024","0.7889129519462585","41.717430114746094","0.4567432999610901","0.9960881471633912","8.04848861694336","8.70703125","0.3640649914741516","0.025995947420597076","0.001315572997555137","0.00032448937417939305","0.02435588464140892","0.025995947420597076","0.05773281678557396","0.23449181020259857","40327744300000","40.3277443","[920,222,61,848,302]","[0.9979830980300904,0.996455192565918,0.27707409858703613,0.25729650259017944,0.2276101112365723]","50000","0.032884919054993786","0.016717569519897512","0.046657694012266625","0.025390624993801115","58.252410888671875","1","0"
"spiked-rho0.90-adaptive_elastic_net_sweep069-seed0","finished","-","","model=adaptive_elastic_net_sweep069, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-07-25T07:16:46.000Z","196","","256","cuda","253.8714141845703","232.3142852783203","12.344648361206056","0.06261799484491348","0.0033026470337063074","1.0023272037506104","1.6490353345870972","29.214345932006836","0.9296931028366088","0.8995046615600586","0","torch.float32","0.001","500","10000","806554886","0.806554886","AdaptiveElasticNetSAE","adaptive_elastic_net_sweep069","50000","0.9","0","10000","2.000016450881958","1.0567348003387451","1.0275849103927612","0.9724150896072388","8.546540260314941","0.07169166207313538","7.386363636363637","0.07386363636363637","91.6015625","0.9991451501846312","0.251875102519989","0.19845369458198547","0.22614912688732147","0.32369285821914673","0.08493083715438843","0.9991451501846312","0.05226968973875046","0","1024","1024","0.8076870292425156","42.612571716308594","0.43207770586013794","0.9960291385650636","3.929598331451416","0.98828125","1.762505054473877","0.027174975723028183","0.00035246426705271006","0.0004791161045432091","0.026343395933508873","0.027174975723028183","0.015094565227627754","0.251875102519989","40327744300000","40.3277443","[852,728,284,955,789]","[0.9982908964157104,0.2760888636112213,0.23522348701953888,0.21344920992851257,0.1940898150205612]","50000","0","0","0","0","15.441740036010742","1","0"
"spiked-rho0.90-adaptive_elastic_net_sweep068-seed0","finished","-","","model=adaptive_elastic_net_sweep068, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-07-25T07:13:36.000Z","190","","256","cuda","253.8714141845703","232.3142852783203","12.344648361206056","0.06261799484491348","0.0033026470337063074","1.0023272037506104","1.6490353345870972","29.214345932006836","0.9296931028366088","0.8995046615600586","0","torch.float32","0.001","500","10000","806554886","0.806554886","AdaptiveElasticNetSAE","adaptive_elastic_net_sweep068","50000","0.9","0","10000","7.0605363845825195","8.661392211914062","1.909448742866516","0.22045518457889557","8.472862243652344","0.07040399312973022","9.324009324009324","0.09324009324009323","88.4765625","0.9442811608314514","0.24478411674499512","0.19630631804466248","0.2245636284351349","0.31119436025619507","0.07194756716489792","0.9442811608314514","0.05200335010886192","0","1024","1024","0.7936369478702545","41.61793899536133","0.4467189908027649","0.9958025813102722","8.600920677185059","7.1484375","0.4306442141532898","0.025861212983727455","0.0006917414721101522","0.0003761078114621341","0.024793364107608795","0.025861212983727455","0.0664084404706955","0.24478411674499512","40327744300000","40.3277443","[582,72,320,474,451]","[0.9985496401786804,0.4339370131492615,0.4072875380516052,0.3622252941131592,0.3518892526626587]","50000","0.013499404369324269","0.006795786611145806","0.021857923485323536","0.009765624997615812","67.27174377441406","1","0.002964426763355732"
"spiked-rho0.90-adaptive_elastic_net_sweep067-seed0","finished","-","","model=adaptive_elastic_net_sweep067, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-07-25T07:10:27.000Z","188","","256","cuda","253.8714141845703","232.3142852783203","12.344648361206056","0.06261799484491348","0.0033026470337063074","1.0023272037506104","1.6490353345870972","29.214345932006836","0.9296931028366088","0.8995046615600586","0","torch.float32","0.001","500","10000","806554886","0.806554886","AdaptiveElasticNetSAE","adaptive_elastic_net_sweep067","50000","0.9","0","10000","119.43303680419922","8.455525398254395","1.8291469812393188","0.21632565557956696","8.197693824768066","0.06591495126485825","13.537117903930133","0.13537117903930132","48.046875","0.998689830303192","0.22446931898593905","0.19348028302192688","0.21653763949871063","0.2535754442214966","0.05701639875769615","0.998689830303192","0.05083034932613373","0","1024","1024","0.7670531123876572","40.83412170410156","0.505082905292511","0.9960857033729552","7.910890102386475","6.16796875","0.43019819259643555","0.026367781683802605","0.004616596270352602","0.00031644589034840465","0.021434739232063293","0.026367781683802605","0.05677935481071472","0.22446931898593905","40327744300000","40.3277443","[432,92,833,36,175]","[0.9980551600456238,0.99544757604599,0.2503073811531067,0.2448311746120453,0.2346684038639069]","50000","0.35629915770312104","0.21676672379571896","0.640278656972591","0.24682617181473968","57.4039306640625","1","0"
